data;																																																																																																																																																																																																					
																																																																																																																																																																																																					
set projets := 	p1 	p2 	p3 	p4 	p5 	p6 	p7 	p8 	p9 	p10 	p11 	p12 	p13 	p14 	p15 			;																																																																																																																																																																																			
set eleves := 	e1 	e2 	e3 	e4 	e5 	e6 	e7 	e8 	e9 	e10 	e11 	e12 	e13 	e14 	e15 	e16 	e17 	e18 	e19 	e20 	e21 	e22 	e23 	e24 	e25 	e26 	e27 	e28 	e29 	e30 	e31 	e32 	e33 	e34 	e35 	e36 	e37 	e38 	e39 	e40 	e41 	e42 	e43 	e44 	e45 	e46 	e47 	e48 	e49 	e50 	e51 	e52 	e53 	e54 	e55 	e56 	e57 	e58 	e59 	e60 	e61 	e62 	e63 	e64 	e65 	e66 	e67 	e68 	e69 	e70 	e71 	e72 	e73 	e74 	e75 	e76 	e77 	e78 	e79 	e80 	e81 	e82 	e83 	e84 	e85 	e86 	e87 	e88 	e89 	e90 	e91 	e92 	e93 	e94 	e95 	e96 	e97 	e98 	e99 	e100 	e101 	e102 	e103 	e104 	e105 	e106 	e107 	e108 	e109 	e110 	e111 	e112 	e113 	e114 	e115 	e116 	e117 	e118 	e119 	e120 	e121 	e122 	e123 	e124 	e125 	e126 	e127 	e128 	e129 	e130 	e131 	e132 	e133 	e134 	e135 	e136 	e137 	e138 	e139 	e140 	e141 	e142 	e143 	e144 	e145 	e146 	e147 	e148 	e149 	e150 	e151 	e152 	e153 	e154 	e155 	e156 	e157 	e158 	e159 	e160 	e161 	e162 	e163 	e164 	e165 	e166 	e167 	e168 	e169 	e170 	e171 	e172 	e173 	e174 	e175 	e176 	e177 	e178 	e179 	e180 	e181 	e182 	e183 	e184 	e185 	e186 	e187 	e188 	e189 	e190 	e191 	e192 	e193 	e194 		;	
																																																																																																																																																																																																					
param nbMinGpes :=	p1 	0	p2 	0	p3 	0	p4 	0	p5 	0	p6 	0	p7 	0	p8 	0	p9 	0	p10 	0	p11 	0	p12 	0	p13 	0	p14 	0	p15 	0									;																																																																																																																																																														
param nbMaxGpes :=	p1 	2	p2 	2	p3 	2	p4 	2	p5 	2	p6 	2	p7 	2	p8 	2	p9 	2	p10 	2	p11 	2	p12 	2	p13 	2	p14 	2	p15 	2									;																																																																																																																																																														
param tailleEquipe:=	2	;																																																																																																																																																																																																			
param nMin := 	12	;																																																																																																																																																																																																			
param nMax :=	14	;																																																																																																																																																																																																			
param nbMiniSujets :=	10	;																																																																																																																																																																																																			
param c :		e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20	e21	e22	e23	e24	e25	e26	e27	e28	e29	e30	e31	e32	e33	e34	e35	e36	e37	e38	e39	e40	e41	e42	e43	e44	e45	e46	e47	e48	e49	e50	e51	e52	e53	e54	e55	e56	e57	e58	e59	e60	e61	e62	e63	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e113	e114	e115	e116	e117	e118	e119	e120	e121	e122	e123	e124	e125	e126	e127	e128	e129	e130	e131	e132	e133	e134	e135	e136	e137	e138	e139	e140	e141	e142	e143	e144	e145	e146	e147	e148	e149	e150	e151	e152	e153	e154	e155	e156	e157	e158	e159	e160	e161	e162	e163	e164	e165	e166	e167	e168	e169	e170	e171	e172	e173	e174	e175	e176	e177	e178	e179	e180	e181	e182	e183	e184	e185	e186	e187	e188	e189	e190	e191	e192	e193	e194		:=
	p1	6000000	6000000	1	1	1	1	1	1	1	1	1	1	6000000	1	6000000	1	1	6000000	1000000	1	1	150000	6000000	1000000	6000000	1	6000000	6000000	6000000	6000000	5	150000	6000000	5000	6000000	5000	1	6000000	6000000	1	6000000	1	25	25	6000000	6000000	1	1	1	6000000	6000000	1	6000000	25	1000000	1	150000	25	1	1	1	6000000	5000	150000	5	6000000	6000000	6000000	1	1	1	5000	1000000	5000	6000000	1000000	1000000	6000000	1	5000	6000000	1000000	1	1	1	25	150000	1	1	1	25	1	1	25	5	1	25	1000000	5	6000000	150000	1	150000	6000000	1	6000000	6000000	1	6000000	1	6000000	1	5000	6000000	150000	1000000	1	1	1	6000000	6000000	150000	6000000	1	6000000	25	6000000	1	1	150000	5	6000000	1000000	150000	25	6000000	1	5000	1	1	6000000	6000000	25	6000000	1	5	25	6000000	1	6000000	5000	1	1000000	6000000	6000000	1	5000	5	1	6000000	6000000	1	150000	1	6000000	6000000	6000000	1	1	1	1	150000	150000	5	6000000	1	25	5	150000	6000000	6000000	5000	6000000	6000000	6000000	6000000	6000000	6000000	1000000	1	6000000	25	6000000	6000000		
	p2	150000	6000000	1	6000000	6000000	5	6000000	1	1	5	6000000	6000000	6000000	5	6000000	1	1	6000000	150000	5	6000000	5000	6000000	1000000	6000000	5	6000000	1	6000000	6000000	6000000	5	6000000	5000	5000	1	1	6000000	6000000	1	5	1	25	5000	6000000	6000000	1	1	6000000	6000000	1	1	6000000	25	6000000	1	150000	6000000	1	1	1	6000000	5000	5	1000000	5	6000000	6000000	1000000	1	5	5000	1000000	5000	6000000	1000000	5	6000000	1	6000000	6000000	1000000	150000	1	6000000	6000000	150000	6000000	6000000	1	6000000	1	6000000	6000000	1	1	1000000	1000000	25	6000000	1	1	150000	1	1	6000000	6000000	1	6000000	6000000	6000000	6000000	6000000	6000000	1000000	25	5000	6000000	1	1000000	6000000	150000	25	1	6000000	25	6000000	5000	6000000	5	1	6000000	1000000	6000000	6000000	6000000	1	25	1	6000000	1000000	6000000	25	6000000	6000000	6000000	5000	150000	1	6000000	6000000	150000	6000000	6000000	6000000	1	6000000	6000000	6000000	6000000	6000000	6000000	150000	5	5	6000000	5000	1	6000000	1	1	1	150000	1	6000000	1	5	6000000	150000	1	1	1	6000000	5000	6000000	6000000	6000000	6000000	6000000	1	6000000	1	6000000	150000		
	p3	6000000	5000	1	5	6000000	1000000	6000000	1	1	5000	25	25	1000000	1000000	1	1	1	6000000	1	5	6000000	6000000	1	5	25	150000	6000000	6000000	5	150000	6000000	6000000	1	5000	1	6000000	1	6000000	1	1	25	1	1	6000000	5	1000000	1	1	25	25	6000000	1	25	25	5000	1	1	6000000	1	1	1	5	5000	1000000	6000000	25	1000000	6000000	6000000	1	6000000	5000	25	5000	1	1000000	1000000	1	1	150000	6000000	1000000	150000	1	6000000	6000000	1	6000000	6000000	1	6000000	1	6000000	6000000	6000000	1	1000000	25	6000000	25	150000	1	150000	6000000	1	1	25	1	1000000	6000000	6000000	25	150000	1	6000000	1000000	1000000	25	1	6000000	1	150000	6000000	1	1	25	1	5000	6000000	1000000	6000000	150000	5	6000000	6000000	6000000	1	1000000	1	6000000	5000	1	25	1	6000000	150000	6000000	5000	1	1	5	150000	6000000	6000000	25	1	6000000	25	6000000	5000	6000000	5000	25	150000	25	25	150000	1	6000000	1	1	6000000	150000	6000000	1	1	6000000	5000	5000	150000	150000	5000	25	25	25	1	150000	6000000	1	1	6000000	5000	6000000	1		
